Method,AVG_KMP,AVG_DFA,MIN_KMP,MIN_DFA,MAX_KMP,MAX_DFA
abaa,120,1710,20,268,3218,21934
abcdefk,77,587,13,103,4085,23544
kdflks,20,186,7,87,779,2056
xzyqwe,7,222,6,73,44,8653
lmnopqr,10,423,6,84,194,4740
hijklmn,12,544,5,72,672,28365
ooppqqrr,5,567,5,106,24,17355
ppppqq,3,202,3,98,21,3342
uuuvvww,6,783,4,130,48,6679
xyzzzz,7,434,3,119,168,7658
aabbcc,211,481,3,100,20644,7199
ddddeee,24,4917,3,127,1876,380835
effgghh,6,468,3,85,40,23095
qwertyu,5,170,2,71,88,3804
asdfghj,4,666,2,68,25,48002
zxcvbnm,6,276,2,91,169,8324
plmokni,3,179,1,74,52,1252
ujmnhyt,4,1159,1,76,40,26467
rewqasd,8,593,1,68,147,15772
tyghbnm,2,357,1,68,11,7570
pplokij,4,175,1,79,104,580
oiujklm,2,603,1,69,21,8704
nnbbvcc,3,415,1,75,18,13073
yuioplk,6,571,1,69,182,10464
hfdsoie,2,803,1,72,37,24259
woeiruf,7,167,1,65,438,2641
sdfghjk,2,397,1,69,15,7057
xcnvmdf,9,554,1,68,367,20402
ooplkji,2,568,1,74,8,38857
wertyuj,3,153,1,67,53,622
bvcxzpl,4,484,1,66,44,31469
qazwsx,3,164,1,58,17,1705
edcrfv,2,139,1,56,9,2348
tgbvfr,2,261,1,37,13,6153
wsxcde,1,322,1,36,14,20919
gtyhnm,2,94,1,35,68,3314
poiuytr,1,86,1,43,18,610
mnbvcxz,2,95,1,43,111,864
lkjhgfd,1,230,1,42,4,8342
asdfqwe,1,203,1,42,5,5198
qazplm,1,66,1,37,3,228
wsmjkd,1,131,1,36,15,5378
cbvlmki,1,114,1,42,14,3009
lpdsaqw,1,373,1,41,6,16778
ploikmn,1,195,1,45,18,2460
sdfrtre,1,188,1,53,30,2806
zxcvtyu,1,131,1,43,6,2607
bnmpokl,7,270,1,46,117,2260
cfgtymn,3,260,1,44,145,5755
wertyuio,2,197,1,48,43,3613
qasdfg,1,171,1,39,3,4025
lkjhgfds,7,268,1,60,456,3124
qwopplm,2,325,1,50,37,7121
plokmn,2,149,1,37,172,1535
trfjkil,1,161,1,41,29,3029
ghnbvc,1,630,1,35,4,51107
tryuiko,1,120,1,41,89,3443
awertyu,1,62,1,38,15,589
ytgnhjm,1,143,1,40,5,4057
qwertyuio,1,657,1,50,27,52687
fghjklm,2,437,1,40,74,25662
poiulkm,1,94,1,42,16,685
mnplkji,2,201,1,43,45,2575
rtyuiop,1,76,1,39,7,2047
fhgtyui,1,258,1,40,15,19760
olkjhgf,1,104,1,42,20,1272
xcvbnml,3,361,1,42,89,8239
uhyjnbv,1,99,1,41,16,285
aaabbbccc,2,427,1,64,36,26129
ttyyzz,4,305,1,41,345,4822
ppqqrrss,1,233,1,54,6,1880
jjhghgg,8,280,1,63,186,3468
plkllp,1,342,1,44,4,8875
zxcvfgty,2,279,1,46,43,3324
mnbvcxza,13,214,1,48,1209,3682
pkloijnm,1,164,1,45,3,3351
fjdksl,1,268,1,35,38,6409
zssxdd,3,940,1,47,103,58807
rtrfgyy,1,182,1,54,6,2839
fgtyhjk,1,641,1,41,3,46878
ewqasd,1,72,1,34,3,196
jjjkkkll,1,258,1,78,5,4361
abcdmnop,20,197,1,45,1034,3792
zzxxccvv,1,140,1,52,4,2256
bmnplokm,3,189,1,57,55,2767
llooookm,5,227,1,81,102,2229
iuytreww,2,215,1,55,91,3129
bvcfgtyu,1,301,1,49,34,11249
mmhhjjnm,2,327,1,55,46,3370
fghjkl,6,167,1,34,155,3133
nhygtfrd,1,149,1,43,3,8207
ytrewsdd,2,319,1,68,73,4184
gfdsasd,1,289,1,52,10,4119
klokijk,1,192,1,47,4,3761
oppijklm,13,271,1,57,1177,4601
poiuhjkl,1,258,1,48,7,5039
gbnmnklp,1,389,1,55,52,5787
tyuiolkj,1,486,1,47,52,13434
qwetyyuui,1,656,1,60,8,48923
jkklnm,1,163,1,42,10,1607
azsxdcfv,1,189,1,62,5,2172
hgfvcdf,1,653,1,49,3,48156
mkoijuhb,1,68,1,45,17,381
wsxedcrf,1,47,1,44,24,103
dertgfvn,1,73,1,44,10,1066
